year,stcd,inc,dv,dvp,fr,redist,dpres,incwin,inc3,decade,ptynow,cprescat,cexpx,split,state,midterm,preswin,south,iexpx
1946,2105,0,28.1,26.799999,0,0,,1,-1,40,-1,0,,1,21,0,,0,
1946,2106,0,29.799999,33,0,0,,1,-1,40,-1,0,,1,21,0,,0,
1946,2107,1,61.700001,67.900002,0,0,,1,1,40,1,0,,1,21,0,,0,
1946,2108,0,36.5,42.5,0,0,,1,-1,40,-1,0,,1,21,0,,0,
1946,2109,0,38.299999,41.5,0,0,,1,-1,40,-1,0,,1,21,0,,0,
1946,2110,0,36,44.200001,0,0,,1,-1,40,-1,0,,1,21,0,,0,
1946,2111,2,71.900002,65.599998,9,0,,,0,40,1,,,1,21,0,,0,
1946,2112,1,,75.800003,0,0,,1,1,40,1,0,,1,21,0,,0,
1946,2113,0,32.5,34.200001,0,0,,1,-1,40,-1,0,,1,21,0,,0,
1946,2114,0,36.400002,38,0,0,,1,-1,40,-1,0,,1,21,0,,0,
1946,2201,1,66.599998,80.900002,0,0,,1,1,40,1,0,,1,22,0,,0,
1946,2202,0,28.200001,35,0,0,,1,-1,40,-1,0,,1,22,0,,0,
1946,2203,0,30.299999,37,0,0,,1,-1,40,-1,0,,1,22,0,,0,
1946,2204,0,26.799999,35.599998,0,0,,1,-1,40,-1,0,,1,22,0,,0,
1946,2205,0,28.4,42.299999,0,0,,1,-1,40,-1,0,,1,22,0,,0,
1946,2206,0,42.299999,44.5,0,0,,1,-1,40,-1,0,,1,22,0,,0,
1946,2207,0,25.200001,33.599998,0,0,,1,-1,40,-1,0,,1,22,0,,0,
1946,2208,0,26.700001,32.200001,0,0,,1,-1,40,-1,0,,1,22,0,,0,
1946,2209,0,27.799999,37.400002,0,0,,1,-1,40,-1,0,,1,22,0,,0,
1946,2210,0,28.299999,35,0,0,,1,-1,40,-1,0,,1,22,0,,0,
1946,2211,0,34,40.799999,0,0,,1,-1,40,-1,0,,1,22,0,,0,
1946,2212,1,45.400002,50.5,0,0,,0,1,40,1,0,,1,22,0,,0,
1946,2213,1,47.200001,58.099998,0,0,,0,1,40,1,0,,1,22,0,,0,
1946,2214,1,46.700001,54.700001,0,0,,0,1,40,1,0,,1,22,0,,0,
1946,2215,1,52.299999,63.799999,0,0,,1,1,40,1,0,,1,22,0,,0,
1946,2216,1,52.900002,61.599998,0,0,,1,1,40,1,0,,1,22,0,,0,
1946,2217,0,34.900002,43,0,0,,1,-1,40,-1,0,,1,22,0,,0,
1946,2301,0,31.6,38.299999,0,0,,1,-1,40,-1,0,,1,23,0,,0,
1946,2302,0,24,24.299999,0,0,,1,-1,40,-1,0,,1,23,0,,0,
1946,2303,2,48.5,50.900002,9,0,,,0,40,1,,,1,23,0,,0,
1946,2304,1,47.900002,50.900002,1,0,,0,1,40,1,0,,1,23,0,,0,
1946,2305,0,41.700001,43.400002,0,0,,1,-1,40,-1,0,,1,23,0,,0,
1946,2306,0,42.599998,33.700001,0,0,,1,-1,40,-1,0,,1,23,0,,0,
1946,2307,0,34.599998,34.099998,0,0,,1,-1,40,-1,0,,1,23,0,,0,
1946,2308,0,57.700001,48.200001,0,0,,0,-1,40,-1,0,,1,23,0,,0,
1946,2309,0,36.099998,40.799999,0,0,,1,-1,40,-1,0,,1,23,0,,0,
1946,2401,1,,,0,0,,1,1,40,1,0,,1,24,0,,1,
1946,2402,1,,,0,0,,1,1,40,1,0,,1,24,0,,1,
1946,2403,1,,,0,0,,1,1,40,1,0,,1,24,0,,1,
1946,2404,1,,,0,0,,1,1,40,1,0,,1,24,0,,1,
1946,2405,1,,,0,0,,1,1,40,1,0,,1,24,0,,1,
1946,2406,1,,,0,0,,1,1,40,1,0,,1,24,0,,1,
1946,2407,2,,92.800003,9,0,,,0,40,1,,,1,24,0,,1,
1946,2501,0,49.700001,49.299999,0,0,,1,-1,40,-1,0,,1,25,0,,0,
1946,2502,0,48.900002,49.900002,0,0,,1,-1,40,-1,0,,1,25,0,,0,
1946,2503,0,47.200001,49.400002,0,0,,1,-1,40,-1,0,,1,25,0,,0,
1946,2504,1,55.099998,57.200001,0,0,,1,1,40,1,0,,1,25,0,,0,
1946,2505,2,46.299999,52.599998,9,0,,,0,40,1,,,1,25,0,,0,
1946,2506,0,41.400002,43,0,0,,1,-1,40,-1,0,,1,25,0,,0,
1946,2507,0,34.599998,36,0,0,,1,-1,40,-1,0,,1,25,0,,0,
1946,2508,1,48.900002,50.5,1,0,,0,1,40,1,0,,1,25,0,,0,
1946,2509,1,53.900002,53.200001,0,0,,1,1,40,1,0,,1,25,0,,0,
1946,2510,1,60.599998,56.700001,0,0,,1,1,40,1,0,,1,25,0,,0,
1946,2511,1,49.200001,56.700001,0,0,,0,1,40,1,0,,1,25,0,,0,
1946,2512,0,41.799999,48.200001,0,0,,1,-1,40,-1,0,,1,25,0,,0,
1946,2513,2,54.799999,,9,0,,,0,40,1,,,1,25,0,,0,
1946,2601,1,57.599998,68.599998,0,0,,1,1,40,1,0,,1,26,0,,0,
1946,2602,0,45.5,45.799999,2,0,,1,-1,40,-1,0,,1,26,0,,0,
1946,2701,0,33.599998,30.1,0,0,,1,-1,40,-1,0,,1,27,0,,0,
1946,2702,0,41.700001,40.5,0,0,,1,-1,40,-1,0,,1,27,0,,0,
1946,2703,0,23.9,28.9,0,0,,1,-1,40,-1,0,,1,27,0,,0,
1946,2704,0,28.700001,32.099998,0,0,,1,-1,40,-1,0,,1,27,0,,0,
1946,2801,2,41.200001,63.099998,9,0,,,0,40,1,,,1,28,0,,0,
1946,2901,0,40.299999,49.099998,0,0,,1,-1,40,-1,0,,1,29,0,,0,
1946,2902,3,35.099998,45.599998,9,0,,,0,40,-1,,,1,29,0,,0,
