office,state,year,redistricteddate,repvotes,repcandidate,repstatus,demvotes,demcandidate,demstatus,thirdparty,thirdvotes,thirdcandidate,thirdstatus,othervotes,pluralityvotes,pluralityparty,thirdvotestotalpercent,repvotesmajorpercent,demvotesmajorpercent,racenotes,district
House,ILLINOIS,1974,19710920,51405,"McClory, Robert",Incumbent,42903,"Beetham, Stanley W.",Challenger,N/A,,N/A,N/A,5,8502,R,0,54.51,45.49,,13
House,ILLINOIS,1974,19710920,77718,"Erlenborn, John N.",Incumbent,38981,"Renshaw, Robert H.",Challenger,N/A,,N/A,N/A,,38737,R,0,66.6,33.4,,14
House,ILLINOIS,1974,19710920,54278,"Carlson, Cliffard D.",Challenger,61912,"Hall, Tim L.",Challenger,N/A,,N/A,N/A,2817,7634,D,0,46.71,53.29,,15
House,ILLINOIS,1974,19710920,65175,"Anderson, John Bayard",Incumbent,33724,"Hungness, Marshall",Challenger,N/A,,N/A,N/A,18582,31451,R,0,65.9,34.1,,16
House,ILLINOIS,1974,19710920,59984,"O'Brien, George M.",Incumbent,56541,"Houlihan, John J.",Challenger,N/A,,N/A,N/A,,3443,R,0,51.48,48.52,,17
House,ILLINOIS,1974,19710920,71681,"Michel, Robert H.",Incumbent,59225,"Nordvall, Stephen L.",Challenger,N/A,,N/A,N/A,,12456,R,0,54.76,45.24,,18
House,ILLINOIS,1974,19710920,84049,"Railsrack, Tom",Incumbent,44677,"Gende, Jim",Challenger,N/A,,N/A,N/A,2,39372,R,0,65.29,34.71,,19
House,ILLINOIS,1974,19710920,9386,"Ginderske, James J.",Challenger,65812,"Murphy, Morgan F.",Incumbent,N/A,,N/A,N/A,,56426,D,0,12.48,87.52,,2
House,ILLINOIS,1974,19710920,84426,"Findley, Paul",Incumbent,69551,"Mack, Peter F. Jr.",Challenger,N/A,,N/A,N/A,10,14875,R,0,54.83,45.17,,20
House,ILLINOIS,1974,19710920,78640,"Madigan, Edward R.",Incumbent,40896,"Small, Richard N.",Challenger,N/A,,N/A,N/A,,37744,R,0,65.79,34.21,,21
House,ILLINOIS,1974,19710920,65731,"Young, William A.",Challenger,97921,"Shipley, George E.",Incumbent,N/A,,N/A,N/A,,32190,D,0,40.17,59.83,,22
House,ILLINOIS,1974,19710920,18987,"Randolph, Scott R.",Challenger,78347,"Price, Melvin",Incumbent,N/A,,N/A,N/A,,59360,D,0,19.51,80.49,,23
House,ILLINOIS,1974,19710920,73634,"Oshel, Val",Challenger,108417,"Simon, Paul",Challenger,N/A,,N/A,N/A,,34783,D,0,40.45,59.55,,24
House,ILLINOIS,1974,19710920,58891,"Hanrahan, Robert",Incumbent,65336,"Russo, Martin A.",Challenger,N/A,,N/A,N/A,,6445,D,0,47.41,52.59,,3
House,ILLINOIS,1974,19710920,68428,"Derwinski, Edward J.",Incumbent,47096,"Rodger, Ronald A.",Challenger,N/A,,N/A,N/A,,21332,R,0,59.23,40.77,,4
House,ILLINOIS,1974,19710920,15108,"Toms, William",Challenger,93069,"Kluczynski, John C.",Incumbent,N/A,,N/A,N/A,,77961,D,0,13.97,86.03,,5
House,ILLINOIS,1974,19710920,66027,"Hyde, Henry J.",Challenger,57654,"Hanrahan, Edward V.",Challenger,N/A,,N/A,N/A,,8373,R,0,53.38,46.62,,6
House,ILLINOIS,1974,19710920,8800,"Metzger, Donald L.",Challenger,63962,"Collins, Cardiss",Incumbent,N/A,,N/A,N/A,,55162,D,0,12.09,87.91,,7
House,ILLINOIS,1974,19710920,11664,"Oddo, Salvatore E.",Challenger,75011,"Rostenkowski, Daniel",Incumbent,N/A,,N/A,N/A,,63347,D,0,13.46,86.54,,8
House,ILLINOIS,1974,19710920,,N/A,N/A,93864,"Yates, Sidney R.",Incumbent,N/A,,N/A,N/A,,93864,D,0,0,100,,9
House,INDIANA,1974,19720216,32793,"Harkin, Joseph D.",Challenger,71759,"Madden, Ray J.",Incumbent,N/A,,N/A,N/A,,38966,D,0,31.37,68.63,,1
House,INDIANA,1974,19720216,71701,"Dennis, David W.",Incumbent,85418,"Sharp, Philip R.",Challenger,N/A,,N/A,N/A,,13717,D,0,45.63,54.37,,10
House,INDIANA,1974,19720216,73793,"Hudnut, William H.",Incumbent,81508,"Jacobs, Andrew Jr.",Challenger,N/A,,N/A,N/A,,7715,D,0,47.52,52.48,,11
House,INDIANA,1974,19720216,64950,"Landgrebe, Earl F.",Incumbent,101856,"Fithian, Floyd",Challenger,N/A,,N/A,N/A,,36906,D,0,38.94,61.06,,2
House,INDIANA,1974,19720216,50116,"Black, Virginia R.",Challenger,89306,"Brademas, John",Incumbent,N/A,,N/A,N/A,,39190,D,0,35.95,64.05,,3
House,INDIANA,1974,19720216,75031,"Helmke, Walter P.",Challenger,83604,"Roush, J. Edward",Incumbent,N/A,,N/A,N/A,2584,8573,D,0,47.3,52.7,,4
House,INDIANA,1974,19720216,95331,"Hillis, Elwood H.",Incumbent,73239,"Sebree, William T.",Challenger,N/A,,N/A,N/A,,22092,R,0,56.55,43.45,,5
House,INDIANA,1974,19720216,71134,"Bray, William G.",Incumbent,78414,"Evans, David W.",Challenger,N/A,,N/A,N/A,,7280,D,0,47.57,52.43,,6
House,INDIANA,1974,19720216,100128,"Myers, John T.",Incumbent,73802,"Tipton, Elden C.",Challenger,N/A,,N/A,N/A,1421,26326,R,0,57.57,42.43,,7
House,INDIANA,1974,19720216,87296,"Zion, Roger H.",Incumbent,100121,"Hayes, Philip H.",Challenger,N/A,,N/A,N/A,,12825,D,0,46.58,53.42,,8
House,INDIANA,1974,19720216,47881,"Cox, Delson",Challenger,117648,"Hamilton, Lee H.",Incumbent,N/A,,N/A,N/A,,69767,D,0,28.93,71.07,,9
House,IOWA,1974,19710306,63540,"Leach, James A.",Challenger,75687,"Mezvinsky, Edward",Incumbent,N/A,,N/A,N/A,13,12147,D,0,45.64,54.36,,1
House,IOWA,1974,19710306,69088,"Riley, Tom",Challenger,73416,"Blouin, Michael T.",Challenger,N/A,,N/A,N/A,1124,4328,D,0,48.48,51.52,,2
House,IOWA,1974,19710306,77468,"Grassley, Charles E.",Challenger,74895,"Rapp, Stephen J.",Challenger,N/A,,N/A,N/A,8,2573,R,0,50.84,49.16,,3
House,IOWA,1974,19710306,53756,"Dick, Chuck",Challenger,96755,"Smith, Neal",Incumbent,N/A,,N/A,N/A,918,42999,D,0,35.72,64.28,,4
House,IOWA,1974,19710306,77683,"Scherle, William J.",Incumbent,81146,"Harkin, Tom",Challenger,N/A,,N/A,N/A,6,3463,D,0,48.91,51.09,,5
House,IOWA,1974,19710306,71695,"Mayne, Wiley",Incumbent,86315,"Bedell, Berkley",Challenger,N/A,,N/A,N/A,2,14620,D,0,45.37,54.63,,6
House,KANSAS,1974,19710330,101565,"Sebelius, Keith",Incumbent,57326,"Smith, Donald C.",Challenger,N/A,,N/A,N/A,14977,44239,R,0,63.92,36.08,,1
House,KANSAS,1974,19710330,67650,"Peterson, John C.",Challenger,84864,"Keys, Martha",Challenger,N/A,,N/A,N/A,1725,17214,D,0,44.36,55.64,,2
House,KANSAS,1974,19710330,89694,"Winn, Larry",Incumbent,49976,"Wells, Samuel J.",Challenger,N/A,,N/A,N/A,2980,39718,R,0,64.22,35.78,,3
House,KANSAS,1974,19710330,70401,"Shriver, Garner E.",Incumbent,61210,"Chaney, Bert",Challenger,N/A,,N/A,N/A,12520,9191,R,0,53.49,46.51,,4
House,KANSAS,1974,19710330,88646,"Skubitz, Joe",Incumbent,72024,"Gaines, Frank",Challenger,N/A,,N/A,N/A,,16622,R,0,55.17,44.83,,5
House,KENTUCKY,1974,19720627,16937,"Banken, Charles T.",Challenger,70723,"Hubbard, Carroll",Challenger,N/A,,N/A,N/A,2805,53786,D,0,19.32,80.68,,1
House,KENTUCKY,1974,19720627,18312,"Eddleman, Art",Challenger,56502,"Natcher, William H.",Incumbent,N/A,,N/A,N/A,2586,38190,D,0,24.48,75.52,,2
House,KENTUCKY,1974,19720627,28813,"Barclay, Vincent N.",Challenger,75571,"Mazzoli, Romano L.",Incumbent,N/A,,N/A,N/A,4091,46758,D,0,27.6,72.4,,3
House,KENTUCKY,1974,19720627,63845,"Snyder, M. G.",Incumbent,59539,"Hubbard, Kyle T.",Challenger,N/A,,N/A,N/A,,4306,R,0,51.74,48.26,,4
House,KENTUCKY,1974,19720627,66709,"Carter, Tim Lee",Incumbent,28706,"Willis, Lyle Leonard",Challenger,N/A,,N/A,N/A,2467,38003,R,0,69.91,30.09,,5
House,KENTUCKY,1974,19720627,21039,"Rogers, Thomas F.",Challenger,63010,"Breckinridge, John",Incumbent,N/A,,N/A,N/A,3367,41971,D,0,25.03,74.97,,6
House,KENTUCKY,1974,19720627,22982,"Thomas, Granville",Challenger,71221,"Perkins, Carl D.",Incumbent,N/A,,N/A,N/A,,48239,D,0,24.4,75.6,,7
House,LOUISIANA,1974,19720601,,N/A,N/A,48452,"Hebert, F. Edward",Incumbent,N/A,,N/A,N/A,,48452,D,0,0,100,,1
House,LOUISIANA,1974,19720601,9632,"Morphos, Diane",Challenger,53802,"Boggs, Corinne C.",Incumbent,N/A,,N/A,N/A,2322,44170,D,0,15.18,84.82,,2
House,LOUISIANA,1974,19720601,55574,"Treen, David Conner",Incumbent,39412,"Grisbaum, Charles",Challenger,N/A,,N/A,N/A,,16162,R,0,58.51,41.49,,3
House,LOUISIANA,1974,19720601,,N/A,N/A,47371,"Waggonner, Joe D. Jr.",Incumbent,N/A,,N/A,N/A,,47371,D,0,0,100,,4
House,LOUISIANA,1974,19720601,,N/A,N/A,43068,"Passman, Otto E.",Incumbent,N/A,,N/A,N/A,,43068,D,0,0,100,,5
House,LOUISIANA,1974,19720601,74802,"Moore, W. Henson",Challenger,63366,"Lacaze, Jeff",Challenger,N/A,,N/A,N/A,,11436,R,0,54.14,45.86,,6
House,LOUISIANA,1974,19720601,,N/A,N/A,59406,"Breaux, John B.",Incumbent,N/A,,N/A,N/A,7131,59406,D,0,0,100,,7
House,LOUISIANA,1974,19720601,,N/A,N/A,41704,"Long, Gillis W.",Incumbent,N/A,,N/A,N/A,,41704,D,0,0,100,,8
House,MAINE,1974,19710621,94203,"Emery, David F.",Challenger,93524,"Kyros, Peter N.",Incumbent,N/A,,N/A,N/A,,679,R,0,50.18,49.82,,1
House,MAINE,1974,19710621,118154,"Cohen, William S.",Incumbent,47399,"Gartley, Markham L.",Challenger,N/A,,N/A,N/A,,70755,R,0,71.37,28.63,,2
House,MARYLAND,1974,19720321,59570,"Bauman, Robert E.",Incumbent,52853,"Hatem, Thomas J.",Challenger,N/A,,N/A,N/A,,6717,R,0,52.99,47.01,,1
House,MARYLAND,1974,19720321,30639,"Seney, John M.",Challenger,103222,"Long, Clarence D.",Incumbent,N/A,,N/A,N/A,,72583,D,0,22.89,77.11,,2
House,MARYLAND,1974,19720321,17967,"Mathews, William H.",Challenger,93218,"Sarbanes, Paul S.",Incumbent,N/A,,N/A,N/A,,75251,D,0,16.16,83.84,,3
House,MARYLAND,1974,19720321,61208,"Holt, Marjorie S.",Incumbent,44059,"Wineland, Fred L.",Challenger,N/A,,N/A,N/A,,17149,R,0,58.15,41.85,,4
House,MARYLAND,1974,19720321,40805,"Burcham, John B.",Challenger,45211,"Spellman, Gladys N.",Challenger,N/A,,N/A,N/A,,4406,D,0,47.44,52.56,,5
House,MARYLAND,1974,19720321,32416,"Wampler, Elton R.",Challenger,90882,"Byron, Goodloe E.",Incumbent,N/A,,N/A,N/A,,58466,D,0,26.29,73.71,,6
House,MARYLAND,1974,19720321,,N/A,N/A,43252,"Mitchell, Parren J.",Incumbent,N/A,,N/A,N/A,,43252,D,0,0,100,,7
House,MARYLAND,1974,19720321,104675,"Gude, Gilbert",Incumbent,54112,"Kramer, Sidney",Challenger,N/A,,N/A,N/A,,50563,R,0,65.92,34.08,,8
House,ALABAMA,1974,19720119,60710,"Edwards, Jack",Incumbent,37718,"Wilson, Augusta E.",Challenger,N/A,,N/A,N/A,3638,22992,R,0,61.68,38.32,,1
House,ALABAMA,1974,19720119,54089,"Dickinson, William Louis",Incumbent,27729,"Chisler, Clair",Challenger,N/A,,N/A,N/A,,26360,R,0,66.11,33.89,,2
House,ALABAMA,1974,19720119,,N/A,N/A,63582,"Nichols, Bill",Incumbent,N/A,,N/A,N/A,2730,63582,D,0,0,100,,3
House,ALABAMA,1974,19720119,,N/A,N/A,77925,"Bevill, Tom",Incumbent,N/A,,N/A,N/A,193,77925,D,0,0,100,,4
House,ALABAMA,1974,19720119,,N/A,N/A,56375,"Jones, Robert Emmett Jr.",Incumbent,N/A,,N/A,N/A,6,56375,D,0,0,100,,5
House,ALABAMA,1974,19720119,54505,"Buchanan, John H. Jr.",Incumbent,39444,"Miglionico, Nina",Challenger,N/A,,N/A,N/A,2288,15061,R,0,58.02,41.98,,6
House,ALABAMA,1974,19720119,,N/A,N/A,73203,"Flowers, Walter",Incumbent,N/A,,N/A,N/A,7265,73203,D,0,0,100,,7
House,ALASKA,1974,N/A,51641,"Young, Don",Challenger,44280,"Hensley, William L.",Challenger,N/A,,N/A,N/A,,7361,R,0,53.84,46.16,,0
House,ARIZONA,1974,19711021,63847,"Rhodes, John J.",Incumbent,52897,"Fullinwider, Patricia",Challenger,N/A,,N/A,N/A,8217,10950,R,0,54.69,45.31,,1
House,ARIZONA,1974,19711021,51886,"Dolgaard, Keith",Challenger,84491,"Udall, Morris K.",Incumbent,N/A,,N/A,N/A,,32605,D,0,38.05,61.95,,2
House,ARIZONA,1974,19711021,71497,"Steiger, Sam",Incumbent,68424,"Bosch, Pat",Challenger,N/A,,N/A,N/A,,3073,R,0,51.1,48.9,,3
House,ARIZONA,1974,19711021,78887,"Conlan, John B.",Incumbent,63677,"Brown, Byron T.",Challenger,N/A,,N/A,N/A,,15210,R,0,55.33,44.67,,4
House,ARKANSAS,1974,19710322,10821,"Dauer, James L.",Challenger,104247,"Alexander, William",Incumbent,N/A,,N/A,N/A,,93426,D,0,9.4,90.6,,1
House,ARKANSAS,1974,19710322,56038,"Petty, Judy",Challenger,80296,"Mills, Wilbur D.",Incumbent,N/A,,N/A,N/A,,24258,D,0,41.1,58.9,,2
House,ARKANSAS,1974,19710322,89324,"Hammerschmidt, John",Incumbent,83030,"Clinton, Bill",Challenger,N/A,,N/A,N/A,,6294,R,0,51.83,48.17,,3
House,ARKANSAS,1974,19710322,,N/A,N/A,,"Thornton, Ray",Challenger,N/A,,N/A,N/A,,0,D,0,0,100,,4
House,CALIFORNIA,1974,19731128,,N/A,N/A,138082,"Johnson, Harold T.",Incumbent,N/A,,N/A,N/A,22881,138082,D,0,0,100,,1
House,CALIFORNIA,1974,19731128,26288,"Enright, John M.",Challenger,87978,"Edwards, Don",Incumbent,N/A,,N/A,N/A,,61690,D,0,23.01,76.99,,10
House,CALIFORNIA,1974,19731128,29861,"Merdinger, Brainard G.",Challenger,106429,"Ryan, Leo J.",Incumbent,N/A,,N/A,N/A,4066,76568,D,0,21.91,78.09,,11
House,CALIFORNIA,1974,19731128,103692,"McCloskey, Paul Norton Jr.",Incumbent,46383,"Gillmor, Gary G.",Challenger,N/A,,N/A,N/A,,57309,R,0,69.09,30.91,,12
House,CALIFORNIA,1974,19731128,63573,"Milias, George W.",Challenger,78858,"Mineta, Norman Y.",Challenger,N/A,,N/A,N/A,7668,15285,D,0,44.63,55.37,,13
House,CALIFORNIA,1974,19731128,34775,"Gibson, Charles M.",Challenger,102180,"McFall, John J.",Incumbent,N/A,,N/A,N/A,7123,67405,D,0,25.39,74.61,,14
House,CALIFORNIA,1974,19731128,31439,"Harner, Carol",Challenger,80897,"Sisk, B. F.",Incumbent,N/A,,N/A,N/A,,49458,D,0,27.99,72.01,,15
House,CALIFORNIA,1974,19731128,76356,"Talcott, Burt L.",Incumbent,74168,"Camacho, Julian",Challenger,N/A,,N/A,N/A,4589,2188,R,0,50.73,49.27,,16
House,CALIFORNIA,1974,19731128,61812,"Mathias, Robert B.",Incumbent,66675,"Krebs, John",Challenger,N/A,,N/A,N/A,,4863,D,0,48.11,51.89,,17
House,CALIFORNIA,1974,19731128,67650,"Ketchum, William M.",Incumbent,60733,"Seielstad, George A.",Challenger,N/A,,N/A,N/A,,6917,R,0,52.69,47.31,,18
House,CALIFORNIA,1974,19731128,84249,"Lagomarsino, Robert J.",Challenger,65469,"Loebl, James D.",Challenger,N/A,,N/A,N/A,,18780,R,0,56.27,43.73,,19
House,CALIFORNIA,1974,19731128,95929,"Clausen, Don H.",Incumbent,77232,"Klee, Oscar H.",Challenger,N/A,,N/A,N/A,7744,18697,R,0,55.4,44.6,,2
House,CALIFORNIA,1974,19731128,98410,"Goldwater, Barry Jr.",Incumbent,62326,"Mathews, Arline",Challenger,N/A,,N/A,N/A,,36084,R,0,61.22,38.78,,20
House,CALIFORNIA,1974,19731128,32038,"Nadell, Mel",Challenger,88915,"Corman, James C.",Incumbent,N/A,,N/A,N/A,4,56877,D,0,26.49,73.51,,21
House,CALIFORNIA,1974,19731128,81641,"Moorhead, Carlos J.",Incumbent,64691,"Hallin, Richard",Challenger,N/A,,N/A,N/A,,16950,R,0,55.79,44.21,,22
House,CALIFORNIA,1974,19731128,48826,"Roberts, Jack E.",Challenger,122076,"Rees, Thomas M.",Incumbent,N/A,,N/A,N/A,,73250,D,0,28.57,71.43,,23
House,CALIFORNIA,1974,19731128,45128,"Graham, Elliott S.",Challenger,87521,"Waxman, Henry A.",Challenger,N/A,,N/A,N/A,4073,42393,D,0,34.02,65.98,,24
House,CALIFORNIA,1974,19731128,,N/A,N/A,45059,"Roybal, Edward R.",Incumbent,N/A,,N/A,N/A,104,45059,D,0,0,100,,25
House,CALIFORNIA,1974,19731128,82735,"Rousselot, John H.",Incumbent,57685,"Conforti, Paul A.",Challenger,N/A,,N/A,N/A,,25050,R,0,58.92,41.08,,26
House,CALIFORNIA,1974,19731128,102663,"Bell, Alphonzo",Incumbent,52236,"Dalessio, John",Challenger,N/A,,N/A,N/A,5706,50427,R,0,66.28,33.72,,27
House,CALIFORNIA,1974,19731128,21957,"Neddy, Tom",Challenger,88655,"Burke, Yvonne Brathwaite",Incumbent,N/A,,N/A,N/A,17,66698,D,0,19.85,80.15,,28
House,CALIFORNIA,1974,19731128,,N/A,N/A,47204,"Hawkins, Augustus",Incumbent,N/A,,N/A,N/A,,47204,D,0,0,100,,29
House,CALIFORNIA,1974,19731128,46712,"Lenci, Ivaldo",Challenger,122134,"Moss, John Emerson",Incumbent,N/A,,N/A,N/A,,75422,D,0,27.67,72.33,,3
House,CALIFORNIA,1974,19731128,23383,"Perez, John J.",Challenger,67328,"Danielson, George E.",Incumbent,N/A,,N/A,N/A,,43945,D,0,25.78,74.22,,30
House,CALIFORNIA,1974,19731128,23359,"Hodges, Norman A.",Challenger,61322,"Wilson, Charles H.",Incumbent,N/A,,N/A,N/A,2377,37963,D,0,27.58,72.42,,31
House,CALIFORNIA,1974,19731128,,N/A,N/A,84428,"Anderson, Glenn M.",Incumbent,N/A,,N/A,N/A,11837,84428,D,0,0,100,,32
House,CALIFORNIA,1974,19731128,72471,"Clawson, Del",Incumbent,58492,"White, Robert E.",Challenger,N/A,,N/A,N/A,4725,13979,R,0,55.34,44.66,,33
House,CALIFORNIA,1974,19731128,75426,"Bond, Bill",Challenger,81151,"Hannaford, Mark W.",Challenger,N/A,,N/A,N/A,6426,5725,D,0,48.17,51.83,,34
House,CALIFORNIA,1974,19731128,61168,"Veysey, Victor V.",Incumbent,61903,"Lloyd, Jim",Challenger,N/A,,N/A,N/A,,735,D,0,49.7,50.3,,35
House,CALIFORNIA,1974,19731128,35938,"Osgood, Jim",Challenger,69766,"Brown, George E. Jr.",Incumbent,N/A,,N/A,N/A,5711,33828,D,0,34,66,,36
House,CALIFORNIA,1974,19731128,89849,"Pettis, Jerry L.",Incumbent,46783,"Vincent, Bobby Ray",Challenger,N/A,,N/A,N/A,5570,43066,R,0,65.76,34.24,,37
House,CALIFORNIA,1974,19731128,52207,"Rehmann, David",Challenger,68335,"Patterson, Jerry M.",Challenger,N/A,,N/A,N/A,5919,16128,D,0,43.31,56.69,,38
House,CALIFORNIA,1974,19731128,89220,"Wiggins, Charles E.",Incumbent,65170,"Farris, William E.",Challenger,N/A,,N/A,N/A,7056,24050,R,0,57.79,42.21,,39
House,CALIFORNIA,1974,19731128,,N/A,N/A,101152,"Leggett, Robert L.",Incumbent,N/A,,N/A,N/A,,101152,D,0,0,100,,4
House,CALIFORNIA,1974,19731128,116449,"Hinshaw, Andrew J.",Incumbent,56850,"Wilson, Roderick J.",Challenger,N/A,,N/A,N/A,10498,59599,R,0,67.2,32.8,,40
House,CALIFORNIA,1974,19731128,94709,"Wilson, Robert Carlton",Incumbent,74823,"O'Connor, Colleen M.",Challenger,N/A,,N/A,N/A,4354,19886,R,0,55.86,44.14,,41
House,CALIFORNIA,1974,19731128,30435,"Marden, Wes",Challenger,70579,"Van Deerlin, Lionel",Incumbent,N/A,,N/A,N/A,,40144,D,0,30.13,69.87,,42
House,CALIFORNIA,1974,19731128,115275,"Burgener, Clair W.",Incumbent,75629,"Bandes, Bill",Challenger,N/A,,N/A,N/A,103,39646,R,0,60.38,39.62,,43
House,CALIFORNIA,1974,19731128,56274,"Caylor, Thomas",Challenger,88909,"Burton, John",Challenger,N/A,,N/A,N/A,4077,32635,D,0,38.76,61.24,,5
House,CALIFORNIA,1974,19731128,26260,"Spinosa, Tom",Challenger,85712,"Burton, Phillip",Incumbent,N/A,,N/A,N/A,8276,59452,D,0,23.45,76.55,,6
House,CALIFORNIA,1974,19731128,66325,"Fernandez, Gary",Challenger,83054,"Miller, George",Challenger,N/A,,N/A,N/A,,16729,D,0,44.4,55.6,,7
House,CALIFORNIA,1974,19731128,66386,"Redden, Jack",Challenger,95041,"Dellums, Ronald V.",Incumbent,N/A,,N/A,N/A,6438,28655,D,0,41.12,58.88,,8
House,CALIFORNIA,1974,19731128,38521,"Adams, Edson",Challenger,92436,"Stark, Fortney Pete",Incumbent,N/A,,N/A,N/A,,53915,D,0,29.41,70.59,,9
House,COLORADO,1974,19720511,66046,"Southworth, Frank",Challenger,94583,"Schroeder, Patricia",Incumbent,N/A,,N/A,N/A,1105,28537,D,0,41.12,58.88,,1
House,COLORADO,1974,19720511,86720,"Brotzman, Donald G.",Incumbent,93728,"Wirth, Timothy E.",Challenger,N/A,,N/A,N/A,52,7008,D,0,48.06,51.94,,2
House,COLORADO,1974,19720511,38688,"Records, E. Keith",Challenger,96393,"Evans, Frank E.",Incumbent,N/A,,N/A,N/A,,57705,D,0,28.64,71.36,,3
House,COLORADO,1974,19720511,82608,"Johnson, James P.",Incumbent,76826,"Carroll, John Albert",Challenger,N/A,,N/A,N/A,,5782,R,0,51.81,48.19,,4
House,COLORADO,1974,19720511,85326,"Armstrong, William L.",Incumbent,56888,"Galloway, Ben",Challenger,N/A,,N/A,N/A,5580,28438,R,0,60,40,,5
House,CONNECTICUT,1974,19720718,67080,"Buckley, F. Mac",Challenger,117038,"Cotter, William R.",Incumbent,N/A,,N/A,N/A,2654,49958,D,0,36.43,63.57,,1
House,CONNECTICUT,1974,19720718,69380,"Hellier, Samuel B.",Challenger,104436,"Dodd, Christopher J.",Challenger,N/A,,N/A,N/A,3133,35056,D,0,39.92,60.08,,2
House,CONNECTICUT,1974,19720718,55177,"Altham, James",Challenger,114316,"Giaimo, Robert N.",Incumbent,N/A,,N/A,N/A,6014,59139,D,0,32.55,67.45,,3
House,CONNECTICUT,1974,19720718,83630,"McKinney, Stewart B.",Incumbent,71047,"Kellis, James G.",Challenger,N/A,,N/A,N/A,2558,12583,R,0,54.07,45.93,,4
House,CONNECTICUT,1974,19720718,94998,"Sarasin, Ronald A.",Incumbent,90407,"Ratchford, William",Challenger,N/A,,N/A,N/A,3084,4591,R,0,51.24,48.76,,5
House,CONNECTICUT,1974,19720718,69942,"Piscopo, Patsy J.",Challenger,122785,"Moffett, Anthony T.",Challenger,N/A,,N/A,N/A,854,52843,D,0,36.29,63.71,,6
House,DELAWARE,1974,N/A,93826,"du Pont, Pierre S. IV",Incumbent,63490,"Soles, James",Challenger,N/A,,N/A,N/A,3012,30336,R,0,59.64,40.36,,0
House,FLORIDA,1974,19720426,,N/A,N/A,,"Sikes, Robert L. F.",Incumbent,N/A,,N/A,N/A,,0,D,0,0,100,,1
House,FLORIDA,1974,19720426,117368,"Bafalis, L. A.",Incumbent,41925,"Tucker, Evelyn",Challenger,N/A,,N/A,N/A,,75443,R,0,73.68,26.32,,10
House,FLORIDA,1974,19720426,,N/A,N/A,,"Rogers, Paul G.",Incumbent,N/A,,N/A,N/A,,0,D,0,0,100,,11
House,FLORIDA,1974,19720426,61191,"Burke, J. Herbert",Incumbent,58899,"Friedman, Charles",Challenger,N/A,,N/A,N/A,,2292,R,0,50.95,49.05,,12
House,FLORIDA,1974,19720426,,N/A,N/A,,"Lehman, William",Incumbent,N/A,,N/A,N/A,,0,D,0,0,100,,13
House,FLORIDA,1974,19720426,20383,"Carricarte, Michael A.",Challenger,45479,"Pepper, Claude",Incumbent,N/A,,N/A,N/A,,25096,D,0,30.95,69.05,,14
House,FLORIDA,1974,19720426,28444,"Capua, S. Peter",Challenger,68064,"Fascell, Dante B.",Incumbent,N/A,,N/A,N/A,,39620,D,0,29.47,70.53,,15
House,FLORIDA,1974,19720426,,N/A,N/A,,"Fuqua, Don",Incumbent,N/A,,N/A,N/A,,0,D,0,0,100,,2
House,FLORIDA,1974,19720426,,N/A,N/A,,"Bennett, Charles E.",Incumbent,N/A,,N/A,N/A,,0,D,0,0,0,,3
House,FLORIDA,1974,19720426,34867,"Hauser, Warren",Challenger,74720,"Chappell, William V.",Incumbent,N/A,,N/A,N/A,,39853,D,0,31.82,68.18,,4
House,FLORIDA,1974,19720426,74954,"Kelly, Richard",Challenger,63610,"Saunders, Joann",Challenger,N/A,,N/A,N/A,3524,11344,R,0,54.09,45.91,,5
House,FLORIDA,1974,19720426,109302,"Young, C.W. Bill",Incumbent,34886,"Monrose, Mickey",Challenger,N/A,,N/A,N/A,,74416,R,0,75.81,24.19,,6
House,FLORIDA,1974,19720426,,N/A,N/A,,"Gibbons, Sam M.",Incumbent,N/A,,N/A,N/A,,0,D,0,0,100,,7
House,FLORIDA,1974,19720426,48240,"Lovingood, Joe Z.",Challenger,63283,"Haley, James A.",Incumbent,N/A,,N/A,N/A,,15043,D,0,43.26,56.74,,8
House,FLORIDA,1974,19720426,86226,"Frey, Louis",Incumbent,26255,"Rowland, William D.",Challenger,N/A,,N/A,N/A,,59971,R,0,76.66,23.34,,9
House,GEORGIA,1974,19720316,10485,"Gowan, William L.",Challenger,64958,"Ginn, Ronald B.",Incumbent,N/A,,N/A,N/A,1,54473,D,0,13.9,86.1,,1
House,GEORGIA,1974,19720316,21214,"Pleger, Gary",Challenger,45843,"Stephens, Robert G. Jr.",Incumbent,N/A,,N/A,N/A,1,24629,D,0,31.64,68.36,,10
House,GEORGIA,1974,19720316,,N/A,N/A,59514,"Mathis, Dawson",Incumbent,N/A,,N/A,N/A,1,59514,D,0,0,100,,2
House,GEORGIA,1974,19720316,9453,"Savage, Carl P.",Challenger,67438,"Brinkley, Jack",Incumbent,N/A,,N/A,N/A,,57985,D,0,12.29,87.71,,3
House,GEORGIA,1974,19720316,49922,"Blackburn, Benjamin B.",Incumbent,61211,"Levitas, Elliott H.",Challenger,N/A,,N/A,N/A,6,11289,D,0,44.92,55.08,,4
House,GEORGIA,1974,19720316,27397,"Lowe, Wyman C.",Challenger,69221,"Young, Andrew",Incumbent,N/A,,N/A,N/A,49,41824,D,0,28.36,71.64,,5
House,GEORGIA,1974,19720316,46308,"Gingrich, Newt",Challenger,49082,"Flynt, John James Jr.",Incumbent,N/A,,N/A,N/A,5,2774,D,0,48.55,51.45,,6
