st,district,year,rep,dem,other,total
MN,1,1968,87825,91415,7645,186885
MN,2,1968,98724,90522,7917,197163
MN,3,1968,89127,98643,6572,194342
MN,4,1968,63721,122174,8517,194412
MN,5,1968,75684,123092,9161,207937
MN,6,1968,90969,98899,10101,199969
MN,7,1968,94790,100375,10253,205418
MN,8,1968,57803,132618,8765,199186
MS,1,1968,17832,29660,82062,129554
MS,2,1968,15781,30303,72655,118739
MS,3,1968,12703,32431,97866,143000
MS,4,1968,22236,41696,77047,140979
MS,5,1968,19964,16554,85719,122237
MO,1,1968,41869,110310,9671,161850
MO,2,1968,85185,79326,18994,183505
MO,3,1968,70887,85327,21754,177968
MO,4,1968,85872,70811,22118,178801
MO,5,1968,57971,83098,17562,158631
MO,6,1968,96811,82503,20275,199589
MO,7,1968,112012,62783,19718,194513
MO,8,1968,88961,59344,17822,166127
MO,9,1968,81840,75883,23189,180912
MO,10,1968,71624,66638,32365,170627
MT,1,1968,65689,59110,11227,136026
MT,2,1968,73146,55007,8788,136941
NE,1,1968,110909,61274,11633,183816
NE,2,1968,84690,59078,19044,162812
NE,3,1968,125564,50432,14227,190223
NV,1,1968,73188,60598,20432,154218
NH,1,1968,78662,64045,6347,149054
NH,2,1968,76241,66544,4826,147611
NJ,1,1968,75624,87392,27954,190970
NJ,2,1968,91726,85603,23194,200523
NJ,3,1968,90913,72420,13260,176593
NJ,4,1968,64841,81145,22228,168214
NJ,5,1968,103944,77217,13176,194337
NJ,6,1968,88880,70760,18361,178001
NJ,7,1968,121037,82220,11103,214360
NJ,8,1968,82011,77904,17639,177554
NJ,9,1968,112279,86031,13160,211470
NJ,10,1968,40030,91975,12677,144682
NJ,11,1968,100354,100188,17215,217757
NJ,12,1968,100089,93199,16085,209373
NJ,13,1968,103051,66092,16548,185691
NJ,14,1968,70360,102257,18731,191348
NJ,15,1968,76756,90902,20591,188249
NM,1,1968,91729,75328,7850,174907
NM,2,1968,77963,54753,17887,150603
NY,1,1968,93472,50908,15320,159700
NY,2,1968,84034,46141,14650,144825
NY,3,1968,103012,70161,11195,184368
NY,4,1968,108949,98158,10791,217898
NY,5,1968,108949,98158,10791,217898
NY,6,1968,108298,98431,12106,218835
NY,7,1968,46602,108562,7658,162822
NY,8,1968,61484,117111,8709,187304
NY,9,1968,98641,68644,16997,184282
NY,10,1968,77684,78323,13830,169837
NY,11,1968,52709,95497,9281,157487
NY,12,1968,8743,66929,1578,77250
NY,13,1968,53713,136671,7602,197986
NY,14,1968,30724,49998,6798,87520
NY,15,1968,77238,66349,10574,154161
NY,16,1968,50182,120449,6730,177361
NY,17,1968,67427,67720,12870,148017
NY,18,1968,69963,121186,8076,199225
NY,19,1968,16073,105053,3924,125050
NY,20,1968,40319,122931,8273,171523
NY,21,1968,10417,59363,2094,71874
NY,22,1968,45102,116715,8077,169894
NY,23,1968,99301,92265,13532,205098
NY,24,1968,100797,95508,12064,208369
NY,25,1968,102353,68225,14735,185313
NY,26,1968,89655,66783,13301,169739
NY,27,1968,100771,73629,11771,186171
NY,28,1968,89880,121839,9596,221315
NY,29,1968,112265,76151,11412,199828
NY,30,1968,93004,67935,7306,168245
NY,31,1968,100614,75508,10833,186955
NY,32,1968,101486,72172,9516,183174
NY,33,1968,97648,75964,10566,184178
NY,34,1968,98521,88744,7584,194849
NY,35,1968,94124,81707,8853,184684
NY,36,1968,84839,86526,13219,184584
NY,37,1968,47192,123678,14764,185634
NY,38,1968,86360,88720,15444,190524
NY,39,1968,99328,71296,11290,181914
NC,1,1968,31143,47780,62324,141247
NC,2,1968,31392,48483,60991,140866
NC,3,1968,35730,32586,50931,119247
NC,4,1968,58928,46425,40923,146276
NC,5,1968,80504,44362,39406,164272
NC,6,1968,59401,40619,42214,142234
NC,7,1968,30786,35336,36867,102989
NC,8,1968,67350,39820,46703,153873
NC,9,1968,73070,40024,32252,145346
NC,10,1968,75393,37971,45157,158521
NC,11,1968,83495,50707,38420,172622
ND,1,1968,138669,94769,14244,247682
OH,1,1968,88124,71824,20838,180786
OH,2,1968,96018,63535,26140,185693
OH,3,1968,64092,76285,17984,158361
OH,4,1968,99879,62741,18848,181468
OH,5,1968,96579,61852,16031,174462
OH,6,1968,86824,56809,32180,175813
OH,7,1968,75960,61715,21288,158963
OH,8,1968,71399,50913,26420,148732
OH,9,1968,66329,88945,16371,171645
OH,10,1968,89759,67417,15689,172865
OH,11,1968,71395,62840,17970,152205
OH,12,1968,81336,54511,24509,160356
OH,13,1968,67381,71992,17607,156980
OH,14,1968,67145,85837,21320,174302
OH,15,1968,87406,55970,18578,161954
OH,16,1968,84405,66949,18844,170198
OH,17,1968,89436,58551,18828,166815
OH,18,1968,78803,95894,17152,191849
OH,19,1968,65508,98277,18342,182127
OH,20,1968,48106,89863,57696,195665
OH,21,1968,23965,123971,12391,160327
OH,22,1968,89300,96883,18560,204743
OH,23,1968,97416,74119,19802,191337
OK,1,1968,86106,35522,30440,152068
OK,2,1968,73878,55776,35640,165294
OK,3,1968,57086,63021,43355,163462
OK,4,1968,60270,54299,31065,145634
OK,5,1968,67193,42532,24428,134153
OK,6,1968,101498,49023,26737,177258
OR,1,1968,112543,85679,9230,207452
OR,2,1968,104600,78080,13099,195779
OR,3,1968,93641,116136,10757,220534
OR,4,1968,97649,78971,16597,193217
PA,1,1968,59692,128387,16856,204935
PA,2,1968,39297,146658,4690,190645
PA,3,1968,57238,114922,18395,190555
PA,4,1968,87115,126215,20977,234307
PA,5,1968,104074,59915,13703,177692
PA,6,1968,90818,89782,12956,193556
PA,7,1968,99692,85858,21108,206658
PA,8,1968,84293,65369,17107,166769
PA,9,1968,97270,51959,14836,164065
PA,10,1968,101917,94627,9880,206424
PA,11,1968,84118,101135,10244,195497
PA,12,1968,91394,87198,12186,190778
PA,13,1968,110987,87709,12316,211012
PA,14,1968,60996,122887,20721,204604
PA,15,1968,79288,86587,7176,173051
PA,16,1968,97356,47091,13307,157754
PA,17,1968,104128,58308,13613,176049
PA,18,1968,92077,90621,21058,203756
PA,19,1968,93067,53049,14010,160126
PA,20,1968,66107,111159,27052,204318
PA,21,1968,69023,98072,19543,186638
PA,22,1968,64570,101381,18473,184424
PA,23,1968,88223,65033,9321,162577
PA,24,1968,81256,85763,9733,176752
PA,25,1968,73104,90833,16987,180924
RI,1,1968,58868,126226,6804,191898
RI,2,1968,63491,120292,8874,192657
SC,1,1968,39768,37187,28303,105258
SC,2,1968,48621,37542,28848,115011
SC,3,1968,41678,26585,47223,115486
SC,4,1968,49835,24395,32587,106817
SC,5,1968,39722,33705,43635,117062
SC,6,1968,34438,38072,34834,107344
SD,1,1968,75400,61801,5513,142714
SD,2,1968,74441,56222,7887,138550
TN,1,1968,92635,30418,30619,153672
TN,2,1968,86588,42200,31762,160550
TN,3,1968,63359,44042,53448,160849
TN,4,1968,43438,42847,65592,151877
TN,5,1968,46646,47636,54290,148572
TN,6,1968,52684,36380,68322,157386
TN,7,1968,42049,35390,74448,151887
TN,8,1968,45193,72320,46311,163824
TX,1,1968,39801,56212,52639,148652
TX,2,1968,38316,50599,51017,139932
TX,3,1968,85296,38119,15879,139294
TX,4,1968,47996,44554,36508,129058
TX,5,1968,61004,45759,20970,127733
TX,6,1968,54264,52259,25107,131630
TX,7,1968,89585,29323,18735,137643
TX,8,1968,26793,49283,27990,104066
TX,9,1968,46225,61476,37879,145580
TX,10,1968,52588,60848,17710,131146
TX,11,1968,38899,61849,22672,123420
TX,12,1968,38162,50853,16436,105451
TX,13,1968,72843,55534,32785,161162
TX,14,1968,44726,68965,19194,132885
TX,15,1968,36946,61851,7712,106509
TX,16,1968,41945,42764,14140,98849
TX,17,1968,55136,64758,27958,147852
TX,18,1968,24896,61263,14186,100345
TX,19,1968,67763,41821,31760,141344
TX,20,1968,22242,62211,5861,90314
TX,21,1968,71363,46119,18496,135978
TX,22,1968,51061,43903,24932,119896
TX,23,1968,33722,49618,12911,96251
TX,24,1968,48321,50652,20424,119397
UT,1,1968,119524,69487,14758,203769
UT,2,1968,119204,87178,12148,218530
VT,1,1968,85142,70255,5104,160501
VA,1,1968,47210,45273,40601,133084
VA,2,1968,37700,37647,25038,100385
VA,3,1968,78797,46336,29265,154398
VA,4,1968,38500,48549,49568,136617
VA,5,1968,54213,40770,59451,154434
VA,6,1968,74741,34679,32625,142045
VA,7,1968,66452,37190,29949,133591
VA,8,1968,47505,39796,17375,104676
VA,9,1968,75781,53436,25105,154322
VA,10,1968,69600,58661,18247,146508
WA,1,1968,102918,92510,10579,206007
WA,2,1968,87466,93506,15728,196700
WA,3,1968,69052,84962,10985,164999
WA,4,1968,83420,61301,13575,158296
WA,5,1968,77621,69968,13192,160781
WA,6,1968,66930,96553,14759,178242
WA,7,1968,79649,101883,15588,197120
WV,1,1968,83951,99294,16366,199611
WV,2,1968,80122,86730,17904,184756
WV,3,1968,82591,88493,19110,190194
WV,4,1968,60891,99574,19180,179645
WI,1,1968,86577,77191,16550,180318
WI,2,1968,84220,89620,9170,183010
WI,3,1968,102105,77099,12656,191860
WI,4,1968,74783,100446,18968,194197
WI,5,1968,63698,92352,14581,170631
WI,6,1968,97980,79801,11810,189591
WI,7,1968,86217,95168,15369,196754
WI,8,1968,106148,66437,15145,187730
WI,9,1968,108269,70741,13602,192612
WY,1,1968,70927,45173,11105,127205
WY,10,1968,83762,71141,8090,162993
WY,11,1968,64463,81881,11923,158267
WY,12,1968,74667,68937,10335,153939
WY,13,1968,75779,56359,8349,140487
WY,14,1968,71194,81124,15933,168251
WY,15,1968,72777,72828,13311,158916
WY,16,1968,40925,51627,7281,99833
WY,17,1968,70673,71681,6840,149194
WY,18,1968,64071,54098,11343,129512
WY,19,1968,67390,69517,11446,148353
AL,1,1972,103842,33276,,137118
AL,2,1972,107702,31190,,138892
AL,3,1972,98640,33480,,132120
AL,4,1972,117823,34059,,151882
AL,5,1972,98504,33603,,132107
AL,6,1972,108102,41625,,149727
AL,7,1972,92421,47536,,139957
AK,1,1972,55349,32967,,88316
AZ,1,1972,98436,46573,,145009
AZ,2,1972,89052,65926,,154978
AZ,3,1972,104197,41012,,145209
AZ,4,1972,111127,45029,,156156
AR,1,1972,98979,45355,,144334
AR,2,1972,100761,56514,,157275
AR,3,1972,138541,47922,,186463
AR,4,1972,107476,49108,,156584
CA,1,1972,123735,95522,,219257
CA,2,1972,115742,94060,,209802
CA,3,1972,104534,107849,,212383
CA,4,1972,91739,77896,,169635
CA,5,1972,60503,107755,,168258
CA,6,1972,121081,110541,,231622
CA,7,1972,75856,139721,,215577
CA,8,1972,97446,89062,,186508
CA,9,1972,80269,88293,,168562
CA,10,1972,129770,84716,,214486
CA,11,1972,103931,90388,,194319
CA,12,1972,106577,83510,,190087
CA,13,1972,130134,72367,,202501
CA,14,1972,110079,90872,,200951
CA,15,1972,93600,75020,,168620
CA,16,1972,87864,79980,,167844
CA,17,1972,106566,97748,,204314
CA,18,1972,100122,65449,,165571
CA,19,1972,91302,63474,,154776
CA,20,1972,144889,68650,,213539
CA,21,1972,37413,91077,,128490
CA,22,1972,101594,79296,,180890
CA,23,1972,135119,57301,,192420
CA,24,1972,148177,55323,,203500
CA,25,1972,126156,53059,,179215
CA,26,1972,111555,135535,,247090
CA,27,1972,129909,74361,,204270
CA,28,1972,133911,104629,,238540
CA,29,1972,80484,67490,,147974
CA,30,1972,55563,60305,,115868
CA,31,1972,96740,72054,,168794
CA,32,1972,149953,73970,,223923
CA,33,1972,123412,59603,,183015
CA,34,1972,110310,56370,,166680
CA,35,1972,76784,65870,,142654
CA,36,1972,95059,64929,,159988
CA,37,1972,62666,109673,,172339
CA,38,1972,71319,64824,,136143
CA,39,1972,164958,56293,,221251
CA,40,1972,144144,80734,,224878
CA,41,1972,86387,66770,,153157
CA,42,1972,160940,68162,,229102
CA,43,1972,117994,66770,,184764
CO,1,1972,101950,82403,,184353
CO,2,1972,142326,76789,,219115
CO,3,1972,102569,57152,,159721
CO,4,1972,129253,63181,,192434
CO,5,1972,121492,50546,,172038
CT,1,1972,121196,114473,,235669
CT,2,1972,127923,85382,,213305
CT,3,1972,142569,87766,,230335
CT,4,1972,138496,81802,,220298
CT,5,1972,144149,87747,,231896
CT,6,1972,136430,98328,,234758
DE,1,1972,140357,92283,,232640
FL,1,1972,127607,24860,,152467
FL,2,1972,111042,50861,,161903
FL,3,1972,96783,41880,,138663
FL,4,1972,135945,41660,,177605
FL,5,1972,143766,44600,,188366
FL,6,1972,154765,68214,,222979
FL,7,1972,99739,43347,,143086
FL,8,1972,134071,34768,,168839
FL,9,1972,132323,32041,,164364
FL,10,1972,157854,41504,,199358
FL,11,1972,146024,50733,,196757
FL,12,1972,140157,54394,,194551
FL,13,1972,90997,72957,,163954
FL,14,1972,70005,50458,,120463
FL,15,1972,104864,60483,,165347
GA,1,1972,90218,29768,,119986
GA,2,1972,80769,20745,,101514
GA,3,1972,81300,23534,,104834
GA,4,1972,110574,33043,,143617
GA,5,1972,69088,63405,,132493
GA,6,1972,96213,24717,,120930
GA,7,1972,91477,18726,,110203
GA,8,1972,91338,26033,,117371
GA,9,1972,89299,19544,,108843
GA,10,1972,81220,30014,,111234
HI,1,1972,82729,49994,,132723
HI,2,1972,86136,51415,,137551
ID,1,1972,99087,45309,,144396
ID,2,1972,100297,35517,,135814
IL,1,1972,16998,145003,,162001
IL,2,1972,60220,116534,,176754
IL,3,1972,155092,65226,,220318
IL,4,1972,142635,57082,,199717
IL,5,1972,86644,96012,,182656
IL,6,1972,147633,66815,,214448
IL,7,1972,33266,93318,,126584
IL,8,1972,71343,90093,,161436
IL,9,1972,79997,111512,,191509
IL,10,1972,147305,89630,,236935
IL,11,1972,144169,85928,,230097
IL,12,1972,136343,56896,,193239
IL,13,1972,112900,49217,,162117
IL,14,1972,163652,53631,,217283
IL,15,1972,133061,68288,,201349
IL,16,1972,120432,62339,,182771
IL,17,1972,122873,62394,,185267
IL,18,1972,128747,67503,,196250
IL,19,1972,124549,77194,,201743
IL,20,1972,137414,78281,,215695
IL,21,1972,117230,70380,,187610
IL,22,1972,141820,80804,,222624
IL,23,1972,87654,76971,,164625
IL,24,1972,138435,92910,,231345
IN,1,1972,91218,82173,,173391
IN,2,1972,149099,53463,,202562
IN,3,1972,120430,66985,,187415
IN,4,1972,130321,63938,,194259
IN,5,1972,135915,58893,,194808
IN,6,1972,127566,45691,,173257
IN,7,1972,135270,72718,,207988
IN,8,1972,138545,73835,,212380
IN,9,1972,123569,70613,,194182
IN,10,1972,129455,57073,,186528
IN,11,1972,125009,63456,,188465
IA,1,1972,111577,87448,,199025
IA,2,1972,108517,86714,,195231
IA,3,1972,119372,78687,,198059
IA,4,1972,117283,92752,,210035
IA,5,1972,125720,74495,,200215
IA,6,1972,123738,76110,,199848
KS,1,1972,135605,52842,,188447
KS,2,1972,119234,51093,,170327
KS,3,1972,122474,61367,,183841
KS,4,1972,110805,52191,,162996
KS,5,1972,124835,50528,,175363
KY,1,1972,87072,51802,,138874
KY,2,1972,88384,46922,,135306
KY,3,1972,78143,63796,,141939
KY,4,1972,112607,47238,,159845
KY,5,1972,117821,44287,,162108
KY,6,1972,101147,50777,,151924
KY,7,1972,93088,67062,,160150
LA,1,1972,91347,37676,,129023
LA,2,1972,65036,43702,,108738
LA,3,1972,102047,31647,,133694
LA,4,1972,89754,29203,,118957
LA,5,1972,97039,35213,,132252
LA,6,1972,83246,36240,,119486
LA,7,1972,85502,41032,,126534
LA,8,1972,73297,43429,,116726
ME,1,1972,135388,85028,,220416
ME,2,1972,121120,75556,,196676
MD,1,1972,106539,42257,,148796
MD,2,1972,135329,62755,,198084
MD,3,1972,111007,53981,,164988
MD,4,1972,107379,44937,,152316
MD,5,1972,83579,63821,,147400
MD,6,1972,125878,52346,,178224
MD,7,1972,32369,89041,,121410
MD,8,1972,127225,96643,,223868
MA,1,1972,102513,107528,,210041
MA,2,1972,88652,95348,,184000
MA,3,1972,83423,98449,,181872
MA,4,1972,92341,116100,,208441
MA,5,1972,106658,120470,,227128
MA,6,1972,104027,116157,,220184
MA,7,1972,91607,122026,,213633
MA,8,1972,65660,127868,,193528
MA,9,1972,68748,100720,,169468
MA,10,1972,100844,102368,,203212
MA,11,1972,86139,112397,,198536
MA,12,1972,121406,113109,,234515
MI,1,1972,22815,137732,,160547
MI,2,1972,106155,85093,,191248
MI,3,1972,118023,71608,,189631
MI,4,1972,116712,55846,,172558
MI,5,1972,117832,75224,,193056
MI,6,1972,115810,80875,,196685
MI,7,1972,90776,76745,,167521
MI,8,1972,106524,65422,,171946
MI,9,1972,130463,64561,,195024
MI,10,1972,119706,66980,,186686
MI,11,1972,117006,86548,,203554
MI,12,1972,112291,61288,,173579
MI,13,1972,20561,104556,,125117
MI,14,1972,85618,57045,,142663
MI,15,1972,94812,61803,,156615
MI,16,1972,95564,82219,,177783
MI,17,1972,118347,77659,,196006
MI,18,1972,115552,68193,,183745
MI,19,1972,122205,57144,,179349
MN,1,1972,122634,82155,,204789
MN,2,1972,129432,88633,,218065
MN,3,1972,129587,89281,,218868
MN,4,1972,95201,107924,,203125
MN,5,1972,92951,116090,,209041
MN,6,1972,114196,102231,,216427
MN,7,1972,118727,100410,,219137
MN,8,1972,95536,115622,,211158
MS,1,1972,92680,23058,,115738
MS,2,1972,84346,24633,,108979
MS,3,1972,110710,28941,,139651
MS,4,1972,101007,32496,,133503
MS,5,1972,116382,17654,,134036
MO,1,1972,45765,101307,,147072
MO,2,1972,127123,75564,,202687
MO,3,1972,102959,73362,,176321
MO,4,1972,131874,60472,,192346
MO,5,1972,80553,71527,,152080
MO,6,1972,134977,65754,,200731
MO,7,1972,153239,57616,,210855
MO,8,1972,124585,58036,,182621
MO,9,1972,129159,69218,,198377
MO,10,1972,111777,57754,,169531
MT,1,1972,92166,65384,,157550
MT,2,1972,73146,55007,,128153
NE,1,1972,133282,66001,,199283
NE,2,1972,124791,56204,,180995
NE,3,1972,148142,47750,,195892
NV,1,1972,115750,66016,,181766
NH,1,1972,111167,54375,,165542
NH,2,1972,102557,62060,,164617
NJ,1,1972,112632,74821,,187453
NJ,2,1972,138957,73018,,211975
NJ,3,1972,133272,65028,,198300
NJ,4,1972,102645,74902,,177547
NJ,5,1972,139407,73268,,212675
NJ,6,1972,130276,67191,,197467
NJ,7,1972,150619,76583,,227202
NJ,8,1972,111671,65125,,176796
NJ,9,1972,146286,74851,,221137
NJ,10,1972,46034,78416,,124450
NJ,11,1972,128378,84859,,213237
NJ,12,1972,130187,77367,,207554
NJ,13,1972,141609,61509,,203118
NJ,14,1972,104907,71098,,176005
NJ,15,1972,118439,74752,,193191
NM,1,1972,125326,85996,,211322
NM,2,1972,110280,55088,,165368
NY,1,1972,141383,59420,,200803
NY,2,1972,123030,46695,,169725
NY,3,1972,137271,68617,,205888
NY,4,1972,138983,78124,,217107
NY,5,1972,145996,87445,,233441
NY,6,1972,140072,84480,,224552
NY,7,1972,66305,93806,,160111
NY,8,1972,94222,95212,,189434
NY,9,1972,128699,46700,,175399
NY,10,1972,103372,60343,,163715
NY,11,1972,80662,75129,,155791
NY,12,1972,11937,64673,,76610
NY,13,1972,91690,97155,,188845
NY,14,1972,45586,49825,,95411
NY,15,1972,107188,51109,,158297
NY,16,1972,74403,86597,,161000
NY,17,1972,105543,64601,,170144
NY,18,1972,82516,114237,,196753
NY,19,1972,24302,106164,,130466
NY,20,1972,57319,109341,,166660
NY,21,1972,15293,59375,,74668
NY,22,1972,67371,101683,,169054
NY,23,1972,120690,76152,,196842
NY,24,1972,135553,87068,,222621
NY,25,1972,148003,63536,,211539
NY,26,1972,133873,63450,,197323
NY,27,1972,141972,81179,,223151
NY,28,1972,134123,101128,,235251
NY,29,1972,156842,67570,,224412
NY,30,1972,122127,60180,,182307
NY,31,1972,140433,61141,,201574
NY,32,1972,138607,60343,,198950
NY,33,1972,135504,59196,,194700
NY,34,1972,130757,77699,,208456
NY,35,1972,134216,70120,,204336
NY,36,1972,119213,78931,,198144
NY,37,1972,74998,99509,,174507
NY,38,1972,132331,85221,,217552
NY,39,1972,101792,51963,,153755
NC,1,1972,83557,35333,,118890
NC,2,1972,86006,47674,,133680
NC,3,1972,79431,27878,,107309
NC,4,1972,107283,47343,,154626
NC,5,1972,109952,45830,,155782
NC,6,1972,97946,38163,,136109
NC,7,1972,71346,30409,,101755
NC,8,1972,100830,37880,,138710
NC,9,1972,102879,23918,,126797
NC,10,1972,105093,38202,,143295
NC,11,1972,110566,46095,,156661
ND,1,1972,174109,100384,,274493
OH,1,1972,111925,57516,,169441
OH,2,1972,127655,61676,,189331
OH,3,1972,88701,63890,,152591
OH,4,1972,120089,49780,,169869
OH,5,1972,118678,62332,,181010
OH,6,1972,118484,49892,,168376
OH,7,1972,106807,52240,,159047
OH,8,1972,104889,47638,,152527
OH,9,1972,83768,87151,,170919
OH,10,1972,119083,58831,,177914
OH,11,1972,104236,63864,,168100
OH,12,1972,128129,61644,,189773
OH,13,1972,98505,68481,,166986
OH,14,1972,88384,94320,,182704
OH,15,1972,119846,65381,,185227
OH,16,1972,113402,61173,,174575
OH,17,1972,111545,50374,,161919
OH,18,1972,111800,72581,,184381
OH,19,1972,96607,88500,,185107
OH,20,1972,79056,74041,,153097
OH,21,1972,27661,101276,,128937
OH,22,1972,119412,90689,,210101
OH,23,1972,131709,71361,,203070
OK,1,1972,133381,35199,,168580
OK,2,1972,126446,46648,,173094
OK,3,1972,113281,47962,,161243
OK,4,1972,107548,37542,,145090
OK,5,1972,126859,39955,,166814
OK,6,1972,150998,39712,,190710
OR,1,1972,137345,101616,,238961
OR,2,1972,123857,81195,,205052
OR,3,1972,106955,115283,,222238
OR,4,1972,117977,94456,,212433
PA,1,1972,77078,107549,,184627
PA,2,1972,39889,121786,,161675
PA,3,1972,74829,86379,,161208
PA,4,1972,131066,100940,,232006
PA,5,1972,131393,58454,,189847
PA,6,1972,114537,66807,,181344
PA,7,1972,133151,73432,,206583
PA,8,1972,118601,64330,,182931
PA,9,1972,114144,40131,,154275
PA,10,1972,125686,71105,,196791
PA,11,1972,113556,68764,,182320
PA,12,1972,112694,64049,,176743
PA,13,1972,135464,77715,,213179
PA,14,1972,86912,95687,,182599
PA,15,1972,99664,65557,,165221
PA,16,1972,115651,37223,,152874
PA,17,1972,119178,48205,,167383
PA,18,1972,125938,74949,,200887
PA,19,1972,115528,45769,,161297
PA,20,1972,108506,83576,,192082
PA,21,1972,99366,73049,,172415
PA,22,1972,95927,72157,,168084
PA,23,1972,105463,54138,,159601
PA,24,1972,107785,69394,,177179
PA,25,1972,103715,67926,,171641
RI,1,1972,107156,98881,,206037
RI,2,1972,113072,94935,,208007
SC,1,1972,73480,33488,,106968
SC,2,1972,85637,37756,,123393
SC,3,1972,84401,24723,,109124
SC,4,1972,77547,19702,,97249
SC,5,1972,78994,32044,,111038
SC,6,1972,76985,36846,,113831
SD,1,1972,80576,76932,,157508
SD,2,1972,85900,62013,,147913
TN,1,1972,113840,31200,,145040
TN,2,1972,112505,40799,,153304
TN,3,1972,108187,41430,,149617
TN,4,1972,82879,44719,,127598
TN,5,1972,89046,53175,,142221
TN,6,1972,104742,39799,,144541
TN,7,1972,105072,34241,,139313
TN,8,1972,96876,71930,,168806
TX,1,1972,99658,41763,,141421
TX,2,1972,98598,47499,,146097
TX,3,1972,136195,39892,,176087
TX,4,1972,107025,36730,,143755
TX,5,1972,98434,43360,,141794
TX,6,1972,107759,43773,,151532
TX,7,1972,107655,24069,,131724
TX,8,1972,63861,53672,,117533
TX,9,1972,84903,57699,,142602
TX,10,1972,103675,71652,,175327
TX,11,1972,90802,40234,,131036
TX,12,1972,73669,45183,,118852
TX,13,1972,118004,37575,,155579
TX,14,1972,83780,55365,,139145
TX,15,1972,64410,53083,,117493
TX,16,1972,75221,41962,,117183
TX,17,1972,104249,37811,,142060
TX,18,1972,34173,62954,,97127
TX,19,1972,145504,34307,,179811
TX,20,1972,36907,56713,,93620
TX,21,1972,121423,38093,,159516
TX,22,1972,94187,52395,,146582
TX,23,1972,71812,44358,,116170
TX,24,1972,54150,91867,,146017
UT,1,1972,166517,50225,,216742
UT,2,1972,157126,76059,,233185
VT,1,1972,117149,68174,,185323
VA,1,1972,95400,43069,,138469
VA,2,1972,73728,35107,,108835
VA,3,1972,117472,44566,,162038
VA,4,1972,85780,45346,,131126
VA,5,1972,101546,39194,,140740
VA,6,1972,104443,35356,,139799
VA,7,1972,104720,39691,,144411
VA,8,1972,94715,46870,,141585
VA,9,1972,95065,44540,,139605
VA,10,1972,115664,65148,,180812
WA,1,1972,137563,97967,,235530
WA,2,1972,121349,75728,,197077
WA,3,1972,112130,82747,,194877
WA,4,1972,112728,77042,,189770
WA,5,1972,126627,72966,,199593
WA,6,1972,115377,75698,,191075
WA,7,1972,111127,85891,,197018
WV,1,1972,126902,70735,,197637
WV,2,1972,124917,66597,,191514
WV,3,1972,122907,74219,,197126
WV,4,1972,110238,65884,,176122
WI,1,1972,111281,77321,,188602
WI,2,1972,108506,111508,,220014
WI,3,1972,122445,85348,,207793
WI,4,1972,96755,99537,,196292
WI,5,1972,71196,97596,,168792
WI,6,1972,114461,85778,,200239
WI,7,1972,110826,98230,,209056
WI,8,1972,122672,76912,,199584
WI,9,1972,131288,77944,,209232
WY,1,1972,100464,44358,,144822
AL,1,1976,83622,81012,,164634
AL,2,1976,75528,88208,,163736
AL,3,1976,63819,93776,,157595
AL,4,1976,66263,124601,,190864
AL,5,1976,50039,106191,,156230
AL,6,1976,90928,70995,,161923
AL,7,1976,71799,93693,,165492
AK,1,1976,71555,44058,,115613
AZ,1,1976,99375,62632,,162007
AZ,2,1976,91113,85224,,176337
AZ,3,1976,111116,74467,,185583
AZ,4,1976,116475,72578,,189053
AR,1,1976,52491,120799,,173290
AR,2,1976,60457,126790,,187247
AR,3,1976,99178,128322,,227500
AR,4,1976,55777,122693,,178470
CA,1,1976,106842,110186,,217028
CA,2,1976,106197,111043,,217240
CA,3,1976,98706,110313,,209019
CA,4,1976,76230,96028,,172258
CA,5,1976,95721,94329,,190050
CA,6,1976,62223,83668,,145891
CA,7,1976,95241,104664,,199905
CA,8,1976,79368,115361,,194729
CA,9,1976,72063,91871,,163934
CA,10,1976,65121,92239,,157360
CA,11,1976,94646,85027,,179673
CA,12,1976,103233,89818,,193051
CA,13,1976,108664,91620,,200284
CA,14,1976,92163,92328,,184491
CA,15,1976,66972,81797,,148769
CA,16,1976,97003,95482,,192485
CA,17,1976,87145,75605,,162750
CA,18,1976,89166,70093,,159259
CA,19,1976,98614,95297,,193911
CA,20,1976,129113,86610,,215723
CA,21,1976,73773,80681,,154454
CA,22,1976,115685,71648,,187333
CA,23,1976,106129,119138,,225267
CA,24,1976,74042,93650,,167692
CA,25,1976,30106,52234,,82340
CA,26,1976,108532,66151,,174683
CA,27,1976,125254,82854,,208108
CA,28,1976,42792,104135,,146927
CA,29,1976,19596,83291,,102887
CA,30,1976,46152,69424,,115576
CA,31,1976,38052,72775,,110827
CA,32,1976,58147,72386,,130533
CA,33,1976,99127,75709,,174836
CA,34,1976,112251,84977,,197228
CA,35,1976,90929,72664,,163593
CA,36,1976,64801,82538,,147339
CA,37,1976,101935,84725,,186660
CA,38,1976,85873,67994,,153867
CA,39,1976,131577,73263,,204840
CA,40,1976,167203,79649,,246852
CA,41,1976,122469,90795,,213264
CA,42,1976,62460,69939,,132399
CA,43,1976,159790,106706,,266496
CO,1,1976,93723,93764,,187487
CO,2,1976,137501,100538,,238039
CO,3,1976,88106,84783,,172889
CO,4,1976,130713,93021,,223734
CO,5,1976,124534,82313,,206847
CT,1,1976,108585,120874,,229459
CT,2,1976,110616,111161,,221777
CT,3,1976,121685,105602,,227287
CT,4,1976,118716,91058,,209774
CT,5,1976,133654,104081,,237735
