year,termed,no_election,termyear,inc_yrs,initials,incumbent,inc_party,popvote
1914,NA,NA,2,2,Wil,Wilson,Democrat,NA
1915,NA,NA,3,3,Wil,Wilson,Democrat,NA
1916,NA,32,4,4,Wil,Wilson,Democrat,0.515999973
1917,NA,NA,5,5,Wil,Wilson,Democrat,NA
1918,NA,NA,6,6,Wil,Wilson,Democrat,NA
1919,NA,NA,7,7,Wil,Wilson,Democrat,NA
1920,NA,33,8,8,Wil,Wilson,Democrat,0.361000001
1921,NA,NA,1,1,Hard,Harding,Republican,NA
1922,NA,NA,2,2,Hard,Harding,Republican,NA
1923,NA,NA,3,3,Hard,Harding,Republican,NA
1924,NA,34,4,4,Cool,Coolidge,Republican,0.65200001
1925,NA,NA,5,5,Cool,Coolidge,Republican,NA
1926,NA,NA,6,6,Cool,Coolidge,Republican,NA
1927,NA,NA,7,7,Cool,Coolidge,Republican,NA
1928,NA,35,8,8,Cool,Coolidge,Republican,0.588
1929,NA,NA,1,9,Hoov,Hoover,Republican,NA
1930,NA,NA,2,10,Hoov,Hoover,Republican,NA
1931,NA,NA,3,11,Hoov,Hoover,Republican,NA
1932,NA,36,4,12,Hoov,Hoover,Republican,0.409000009
1933,NA,NA,1,1,FDR,F.D.Roosevelt,Democrat,NA
1934,NA,NA,2,2,FDR,F.D.Roosevelt,Democrat,NA
1935,NA,NA,3,3,FDR,F.D.Roosevelt,Democrat,NA
1936,NA,37,4,4,FDR,F.D.Roosevelt,Democrat,0.625
1937,NA,NA,5,5,FDR,F.D.Roosevelt,Democrat,NA
1938,NA,NA,6,6,FDR,F.D.Roosevelt,Democrat,NA
1939,NA,NA,7,7,FDR,F.D.Roosevelt,Democrat,NA
1940,NA,38,8,8,FDR,F.D.Roosevelt,Democrat,0.550000012
1941,NA,NA,9,9,FDR,F.D.Roosevelt,Democrat,NA
1942,NA,NA,10,10,FDR,F.D.Roosevelt,Democrat,NA
1943,NA,NA,11,11,FDR,F.D.Roosevelt,Democrat,NA
1944,NA,39,12,12,FDR,F.D.Roosevelt,Democrat,0.537999988
1945,NA,NA,13,13,FDR,F.D.Roosevelt,Democrat,NA
1946,NA,NA,2,14,Tru,Truman,Democrat,NA
1947,NA,NA,3,15,Tru,Truman,Democrat,NA
1948,NA,40,4,16,Tru,Truman,Democrat,0.523999989
1949,NA,NA,5,17,Tru,Truman,Democrat,NA
1950,NA,NA,6,18,Tru,Truman,Democrat,NA
1951,NA,NA,7,19,Tru,Truman,Democrat,NA
1952,NA,41,8,20,Tru,Truman,Democrat,0.444999993
1953,NA,NA,1,1,Eis,Eisenhower,Republican,NA
1954,NA,NA,2,2,Eis,Eisenhower,Republican,NA
1955,NA,NA,3,3,Eis,Eisenhower,Republican,NA
1956,NA,42,4,4,Eis,Eisenhower,Republican,0.578000009
1957,NA,NA,5,5,Eis,Eisenhower,Republican,NA
1958,NA,NA,6,6,Eis,Eisenhower,Republican,NA
1959,NA,NA,7,7,Eis,Eisenhower,Republican,NA
1960,1,43,8,8,Eis,Eisenhower,Republican,0.499000013
1961,NA,NA,1,1,JFK,Kennedy,Democrat,NA
1962,NA,NA,2,2,JFK,Kennedy,Democrat,NA
1963,NA,NA,3,3,JFK,Kennedy,Democrat,NA
1964,NA,44,1,4,LBJ,LB Johnson,Democrat,0.612999976
1965,NA,NA,2,5,LBJ,LB Johnson,Democrat,NA
1966,NA,NA,3,6,LBJ,LB Johnson,Democrat,NA
1967,NA,NA,4,7,LBJ,LB Johnson,Democrat,NA
1968,NA,45,5,8,LBJ,LB Johnson,Democrat,0.495999992
1969,NA,NA,1,1,Nix,Nixon,Republican,NA
1970,NA,NA,2,2,Nix,Nixon,Republican,NA
1971,NA,NA,3,3,Nix,Nixon,Republican,NA
1972,NA,46,4,4,Nix,Nixon,Republican,0.617999971
1973,NA,NA,5,5,Nix,Nixon,Republican,NA
1974,NA,NA,6,6,Nix,Nixon,Republican,NA
1975,NA,NA,3,7,Ford,Ford,Republican,NA
1976,NA,47,4,8,Ford,Ford,Republican,0.409000009
1977,NA,NA,1,1,Cart,Carter,Democrat,NA
1978,NA,NA,2,2,Cart,Carter,Democrat,NA
1979,NA,NA,3,3,Cart,Carter,Democrat,NA
1980,NA,48,4,4,Cart,Carter,Democrat,0.446999997
1981,NA,NA,1,1,Reag,Reagan,Republican,NA
1982,NA,NA,2,2,Reag,Reagan,Republican,NA
1983,NA,NA,3,3,Reag,Reagan,Republican,NA
1984,NA,49,4,4,Reag,Reagan,Republican,0.592000008
1985,NA,NA,5,5,Reag,Reagan,Republican,NA
1986,NA,NA,6,6,Reag,Reagan,Republican,NA
1987,NA,NA,7,7,Reag,Reagan,Republican,NA
1988,1,50,8,8,Reag,Reagan,Republican,0.538999975
1989,NA,NA,1,9,GHWB,G.H.W. Bush,Republican,NA
1990,NA,NA,2,10,GHWB,G.H.W. Bush,Republican,NA
1991,NA,NA,3,11,GHWB,G.H.W. Bush,Republican,NA
1992,NA,51,4,12,GHWB,G.H.W. Bush,Republican,0.465000004
1993,NA,NA,1,1,Clnt,Clinton,Democrat,NA
1994,NA,NA,2,2,Clnt,Clinton,Democrat,NA
1995,NA,NA,3,3,Clnt,Clinton,Democrat,NA
1996,NA,52,4,4,Clnt,Clinton,Democrat,0.546999991
1997,NA,NA,5,5,Clnt,Clinton,Democrat,NA
