"state","cty","countyfips","Obama","Romney","pctObama","diff2012"
"CO","Larimer","08069",83103,74603,0.526948879560702,8500
"CO","Las Animas","08071",3282,3105,0.513856270549554,177
"CO","Lincoln","08073",537,1663,0.244090909090909,-1126
"CO","Logan","08075",2675,6124,0.304011819524946,-3449
"CO","Mesa","08077",22448,45087,0.332390612275117,-22639
"CO","Mineral","08079",291,344,0.458267716535433,-53
"CO","Moffat","08081",1291,4616,0.218554257660403,-3325
"CO","Montezuma","08083",4486,7372,0.378310001686625,-2886
"CO","Montrose","08085",5852,12789,0.313931656027037,-6937
"CO","Morgan","08087",3761,6461,0.367931911563295,-2700
"CO","Otero","08089",3566,4315,0.452480649663748,-749
"CO","Ouray","08091",1640,1470,0.527331189710611,170
"CO","Park","08093",3721,5085,0.422552804905746,-1364
"CO","Phillips","08095",588,1637,0.264269662921348,-1049
"CO","Pitkin","08097",6648,2941,0.693294399833142,3707
"CO","Prowers","08099",1498,3200,0.318859088974031,-1702
"CO","Pueblo","08101",40624,31023,0.567002107555097,9601
"CO","Rio Blanco","08103",561,2677,0.17325509573811,-2116
"CO","Rio Grande","08105",2428,2892,0.456390977443609,-464
"CO","Routt","08107",7389,5361,0.579529411764706,2028
"CO","Saguache","08109",1762,937,0.652834383104854,825
"CO","San Juan","08111",266,212,0.556485355648536,54
"CO","San Miguel","08113",2961,1144,0.721315468940317,1817
"CO","Sedgwick","08115",419,881,0.322307692307692,-462
"CO","Summit","08117",9169,5495,0.625272776868522,3674
"CO","Teller","08119",3894,7909,0.329916123019571,-4015
"CO","Washington","08121",461,2059,0.182936507936508,-1598
"CO","Weld","08123",47418,62350,0.431983820421252,-14932
"CO","Yuma","08125",950,3433,0.216746520647958,-2483
"CT","Andover","90900001",904,724,0.555282555282555,180
"CT","Ansonia","90900002",4273,2596,0.62207017033047,1677
"CT","Ashford","90900003",1331,803,0.623711340206186,528
"CT","Avon","90900004",6305,5537,0.532426954906266,768
"CT","Barkhamsted","90900005",1033,1033,0.5,0
"CT","Beacon Falls","90900006",1300,1598,0.448585231193927,-298
"CT","Berlin","90900007",5499,5361,0.506353591160221,138
"CT","Bethany","90900008",1615,1536,0.512535702951444,79
"CT","Bethel","90900009",4777,4445,0.518000433745392,332
"CT","Bethlehem","90900010",894,1272,0.412742382271468,-378
"CT","Bloomfield","90900011",9917,1925,0.837442999493329,7992
"CT","Bolton","90900012",1433,1434,0.499825601674224,-1
"CT","Bozrah","90900013",648,606,0.516746411483254,42
"CT","Branford","90900014",8301,5817,0.587972800679983,2484
"CT","Bridgeport","90900015",32135,5168,0.861458863898346,26967
"CT","Bridgewater","90900016",529,641,0.452136752136752,-112
"CT","Bristol","90900017",13283,10548,0.557383240317234,2735
"CT","Brookfield","90900018",3916,4941,0.442136163486508,-1025
"CT","Brooklyn","90900019",1743,1570,0.526109266525807,173
"CT","Burlington","90900020",2357,2683,0.46765873015873,-326
"CT","Canaan","90900021",384,210,0.646464646464647,174
"CT","Canterbury","90900022",1197,1294,0.480529907667603,-97
"CT","Canton","90900023",2967,2742,0.519705727798213,225
"CT","Chaplin","90900024",584,466,0.556190476190476,118
"CT","Cheshire","90900025",7355,7271,0.502871598523178,84
"CT","Chester","90900026",1380,707,0.661236224245328,673
"CT","Clinton","90900027",3607,2926,0.552120006122761,681
"CT","Colchester","90900028",4125,3579,0.535436137071651,546
"CT","Colebrook","90900029",380,462,0.451306413301663,-82
"CT","Columbia","90900030",1714,1316,0.565676567656766,398
"CT","Cornwall","90900031",629,250,0.715585893060296,379
"CT","Coventry","90900032",3538,2621,0.574443903231044,917
"CT","Cromwell","90900033",4063,3193,0.559950385887541,870
"CT","Danbury","90900034",15290,10590,0.59080370942813,4700
"CT","Darien","90900035",3182,6220,0.338438630078707,-3038
"CT","Deep River","90900036",1479,932,0.613438407299876,547
"CT","Derby","90900037",2597,2032,0.561028299848779,565
"CT","Durham","90900038",2013,1985,0.503501750875438,28
"CT","East Granby","90900040",1389,1448,0.489601691928093,-59
"CT","East Haddam","90900041",2471,2109,0.539519650655022,362
"CT","East Hampton","90900042",3509,3138,0.52790732661351,371
"CT","East Hartford","90900043",13000,4272,0.752663270032422,8728
"CT","East Haven","90900044",6533,4650,0.584190288831262,1883
"CT","East Lyme","90900045",4808,3450,0.58222329861952,1358
"CT","East Windsor","90900047",3072,2250,0.577226606538895,822
"CT","Eastford","90900039",464,465,0.4994617868676,-1
"CT","Easton","90900046",1841,2380,0.436152570480929,-539
"CT","Ellington","90900048",3598,3894,0.480245595301655,-296
"CT","Enfield","90900049",10145,7703,0.56841102644554,2442
"CT","Essex","90900050",2230,1701,0.567285677944543,529
"CT","Fairfield","90900051",15282,14352,0.515691435513262,930
"CT","Farmington","90900052",7012,6610,0.514755542504772,402
"CT","Franklin","90900053",519,516,0.501449275362319,3
"CT","Glastonbury","90900054",10135,8809,0.534997888513513,1326
"CT","Goshen","90900055",749,1017,0.424122310305776,-268
"CT","Granby","90900056",3079,3221,0.488730158730159,-142
"CT","Greenwich","90900057",11137,14368,0.436659478533621,-3231
"CT","Griswold","90900058",2581,2166,0.54371181799031,415
"CT","Groton","90900059",8384,5367,0.609701112646353,3017
"CT","Guilford","90900060",7411,5170,0.589062872585645,2241
"CT","Haddam","90900061",2346,2230,0.512674825174825,116
"CT","Hamden","90900062",19181,7482,0.719386415632149,11699
"CT","Hampton","90900063",601,413,0.592702169625247,188
"CT","Hartford","90900064",31735,2138,0.936881882325156,29597
"CT","Hartland","90900065",414,778,0.347315436241611,-364
"CT","Harwinton","90900066",1260,1924,0.39572864321608,-664
"CT","Hebron","90900067",2606,2471,0.513295253102226,135
"CT","Kent","90900068",1080,606,0.640569395017794,474
"CT","Killingly","90900069",3255,2653,0.550947867298578,602
"CT","Killingworth","90900070",1921,1840,0.510768412656208,81
"CT","Lebanon","90900071",1878,1685,0.52708391804659,193
"CT","Ledyard","90900072",3564,3209,0.526206998375904,355
"CT","Lisbon","90900073",1125,890,0.558312655086849,235
"CT","Litchfield","90900074",2151,2403,0.472332015810277,-252
"CT","Lyme","90900075",856,593,0.590752242926156,263
"CT","Madison","90900076",5293,5193,0.504768262445165,100
"CT","Manchester","90900077",15565,7961,0.661608433222817,7604
"CT","Mansfield","90900078",6941,2193,0.759908035909788,4748
"CT","Marlborough","90900079",1791,1668,0.517779705117086,123
"CT","Meriden","90900080",14886,6880,0.68391068639162,8006
"CT","Middlebury","90900081",1675,2865,0.368942731277533,-1190
"CT","Middlefield","90900082",1334,1168,0.533173461231015,166
"CT","Middletown","90900083",13830,6105,0.693754702784048,7725
"CT","Milford","90900084",13668,11461,0.543913406820805,2207
"CT","Monroe","90900085",4446,5757,0.435754189944134,-1311
"CT","Montville","90900086",4014,3115,0.563052321503717,899
"CT","Morris","90900087",542,747,0.420480993017843,-205
"CT","Naugatuck","90900088",5923,5807,0.504944586530264,116
"CT","New Britain","90900089",16051,4782,0.770460327365238,11269
"CT","New Canaan","90900090",3804,6966,0.353203342618384,-3162
"CT","New Fairfield","90900091",3323,4288,0.43660491394035,-965
"CT","New Hartford","90900092",1759,2056,0.461074705111402,-297
"CT","New Haven","90900093",39865,4430,0.899988712044249,35435
"CT","New London","90900095",6710,1654,0.802247728359637,5056
"CT","New Milford","90900096",6640,6330,0.51195065535852,310
"CT","Newington","90900094",8792,5752,0.604510451045104,3040
"CT","Newtown","90900097",6822,7591,0.473322694789426,-769
"CT","Norfolk","90900098",556,384,0.591489361702128,172
"CT","North Branford","90900099",3375,3290,0.506376594148537,85
"CT","North Canaan","90900100",706,552,0.56120826709062,154
"CT","North Haven","90900101",6376,5990,0.515607310367136,386
"CT","North Stonington","90900102",1383,1279,0.519534184823441,104
"CT","Norwalk","90900103",22369,12773,0.636531785328097,9596
"CT","Norwich","90900104",8542,4144,0.673340690524988,4398
"CT","Old Lyme","90900105",2561,1958,0.566718300508962,603
"CT","Old Saybrook","90900106",3101,2753,0.529723266142808,348
"CT","Orange","90900107",3607,4206,0.461666453346986,-599
"CT","Oxford","90900108",2599,3905,0.39960024600246,-1306
"CT","Plainfield","90900109",2957,2378,0.554264292408622,579
"CT","Plainville","90900110",4545,3320,0.57787666878576,1225
"CT","Plymouth","90900111",2553,2713,0.484808203570072,-160
"CT","Pomfret","90900112",1103,1012,0.521513002364066,91
"CT","Portland","90900113",2664,2141,0.554422476586889,523
"CT","Preston","90900114",1165,1186,0.495533815397703,-21
"CT","Prospect","90900115",1839,3235,0.362435947970043,-1396
"CT","Putnam","90900116",1839,1507,0.549611476389719,332
"CT","Redding","90900117",2787,2503,0.526843100189036,284
"CT","Ridgefield","90900118",6461,7360,0.467477027711454,-899
"CT","Rocky Hill","90900119",5173,4029,0.562160399913062,1144
"CT","Roxbury","90900120",758,706,0.51775956284153,52
"CT","Salem","90900121",1098,996,0.524355300859599,102
"CT","Salisbury","90900122",1552,659,0.701944821347806,893
"CT","Scotland","90900123",408,415,0.495747266099635,-7
"CT","Seymour","90900124",3447,3630,0.487070792708775,-183
"CT","Sharon","90900125",902,519,0.634764250527797,383
